ID,pc1,pc2,Name,Club,Position,BestPosition,Finishing,Penalties,HeadingAccuracy,ShotPower,FKAccuracy,Dribbling,BallControl
0,5.60509431546087,-1.4953068955625513,Álex Remiro,Real Sociedad,2,GK,13.0,24.0,13.0,60.0,17.0,19.0,23.0
1,5.753570691708064,-1.148411825109022,H. Lloris,Tottenham Hotspur,2,GK,10.0,40.0,10.0,49.0,10.0,10.0,34.0
2,6.074411526174831,-1.0902036924906913,T. Vaclík,Olympiacos CFP,2,GK,14.0,13.0,19.0,56.0,16.0,14.0,20.0
3,5.954619711383842,-1.1137737270545167,Adán,Sporting CP,2,GK,11.0,25.0,23.0,59.0,12.0,12.0,15.0
4,5.835819923575641,-1.27859989740623,J. Cillessen,Valencia CF,2,GK,10.0,21.0,12.0,59.0,10.0,12.0,32.0
5,6.126219344902464,-1.1670502172636514,W. Szczęsny,Juventus,2,GK,12.0,18.0,16.0,55.0,14.0,11.0,22.0
6,5.549464823515121,-1.2657311744850646,M. Dúbravka,Newcastle United,2,GK,10.0,20.0,12.0,60.0,13.0,19.0,35.0
7,6.061091859445705,-0.919172619075056,Aitor,Levante Unión Deportiva,2,GK,12.0,24.0,20.0,50.0,14.0,22.0,14.0
8,5.30326531061592,-1.1513006913191557,H. Van Crombrugge,RSC Anderlecht,2,GK,11.0,26.0,11.0,56.0,13.0,29.0,36.0
9,5.608919142101441,-1.268956029615144,Nelsildo Reis,Ceará Sporting Club,2,GK,20.0,17.0,18.0,58.0,20.0,17.0,23.0
10,5.391884991546478,-1.155375067503637,L. Burián,Club Atlético Colón,2,GK,15.0,25.0,12.0,55.0,15.0,19.0,38.0
11,6.1237048133778424,-1.5245046364070771,T. Strakosha,Lazio,2,GK,18.0,21.0,11.0,56.0,12.0,14.0,15.0
12,5.663544026861159,-1.7474949889444706,D. Subašić,Hajduk Split,2,GK,10.0,23.0,13.0,56.0,39.0,11.0,19.0
13,5.928079582634409,-1.1088520114118963,K. Darlow,Newcastle United,2,GK,14.0,19.0,12.0,51.0,16.0,14.0,31.0
14,6.447230709134459,-0.9762332793515649,J. Pavlenka,SV Werder Bremen,2,GK,16.0,18.0,14.0,45.0,14.0,12.0,19.0
15,5.750263762935154,-1.1003805924332617,A. Meret,Napoli,2,GK,17.0,21.0,19.0,53.0,21.0,16.0,22.0
16,6.082891887211246,-0.9934837470424014,R. Jarstein,Hertha BSC,2,GK,13.0,13.0,16.0,53.0,14.0,17.0,25.0
17,6.354577753130854,-1.4075252208772322,Gabri Prestão,Internacional,2,GK,9.0,15.0,7.0,53.0,13.0,18.0,20.0
18,6.6002327895638295,-1.2423340129336116,F. Niță,AC Sparta Praha,2,GK,8.0,11.0,13.0,53.0,13.0,18.0,11.0
19,6.078821442629355,-1.461995247748882,K. Trapp,Eintracht Frankfurt,2,GK,13.0,17.0,11.0,59.0,12.0,10.0,24.0
20,6.279729084591862,-1.4069185223634721,J. Bijlow,Feyenoord,2,GK,10.0,16.0,11.0,58.0,10.0,11.0,21.0
21,5.59786994350152,-1.294794840631796,S. Johnstone,West Bromwich Albion,2,GK,11.0,42.0,17.0,53.0,17.0,16.0,18.0
22,5.885078945466574,-0.8629175680401133,I. Meslier,Leeds United,2,GK,11.0,11.0,15.0,55.0,10.0,20.0,35.0
23,6.313042500306853,-1.002030788340908,A. Lunev,Bayer 04 Leverkusen,2,GK,14.0,15.0,17.0,49.0,17.0,15.0,17.0
24,6.06383966216765,-1.2470869905344406,F. Müller,VfB Stuttgart,2,GK,11.0,19.0,11.0,54.0,12.0,18.0,24.0
25,5.798138163517033,-1.3353117775910226,U. Çakır,Trabzonspor,2,GK,13.0,23.0,14.0,55.0,20.0,14.0,24.0
26,5.3923346989277565,-1.4453595355105193,Rui Silva,Real Betis Balompié,2,GK,20.0,30.0,14.0,56.0,20.0,18.0,24.0
27,6.123520267960532,-1.2999431630233813,L. Fabiański,West Ham United,2,GK,13.0,22.0,11.0,53.0,12.0,14.0,22.0
28,5.937944059950992,-1.3035711027984842,O. Baumann,TSG Hoffenheim,2,GK,11.0,22.0,16.0,59.0,11.0,19.0,17.0
29,5.876051669366272,-1.5323011620559899,Y. Bounou,Sevilla FC,2,GK,14.0,24.0,14.0,57.0,19.0,20.0,12.0
30,5.715335468094564,-1.0676464201512914,G. Kobel,Borussia Dortmund,2,GK,10.0,12.0,13.0,58.0,12.0,24.0,34.0
31,5.741757218783957,-1.083648064850657,B. Leno,Arsenal,2,GK,9.0,23.0,13.0,57.0,8.0,16.0,35.0
32,5.963130769349158,0.051008377749093704,R. Gikiewicz,FC Augsburg,2,GK,13.0,19.0,39.0,48.0,12.0,18.0,19.0
33,6.214603508211464,-1.4271106776842044,S. Sirigu,Genoa,2,GK,10.0,19.0,11.0,57.0,11.0,15.0,18.0
34,6.025853330001413,-1.620583115212545,Sergio Asenjo,Villarreal CF,2,GK,14.0,15.0,13.0,59.0,22.0,15.0,14.0
35,4.549621720817103,-1.55738133705786,J. Pickford,Everton,2,GK,19.0,45.0,15.0,65.0,16.0,14.0,40.0
36,6.32876000851431,-1.3849416962948369,B. Costil,FC Girondins de Bordeaux,2,GK,14.0,15.0,15.0,58.0,11.0,13.0,12.0
37,6.063925578819653,-1.3344420674063595,E. Mendy,Chelsea,2,GK,5.0,13.0,10.0,59.0,14.0,13.0,31.0
38,6.32083514167114,-1.0561449559388179,José Sá,Wolverhampton Wanderers,2,GK,15.0,11.0,14.0,47.0,21.0,17.0,19.0
39,5.988272069348429,-1.2847185173939473,Unai Simón,Athletic Club de Bilbao,2,GK,14.0,24.0,18.0,57.0,14.0,12.0,16.0
40,6.314398820831416,-1.3312943595613993,L. Hrádecký,Bayer 04 Leverkusen,2,GK,11.0,20.0,11.0,52.0,15.0,10.0,20.0
41,5.939061539235121,-1.3749330102202997,N. Pope,Burnley,2,GK,14.0,22.0,11.0,56.0,12.0,15.0,24.0
42,5.660005232379792,-1.1980551167848672,D. Ospina,Napoli,2,GK,10.0,26.0,15.0,58.0,13.0,12.0,32.0
43,5.997713247171091,-0.5988451001373644,A. Blake,Philadelphia Union,2,GK,13.0,19.0,24.0,51.0,12.0,11.0,28.0
44,5.745152510172054,-1.0642222694748662,M. Sportiello,Atalanta,2,GK,18.0,21.0,18.0,51.0,21.0,19.0,22.0
45,5.884226640590874,-0.9469599010861616,S. Rochet,Club Nacional de Football,2,GK,13.0,24.0,17.0,50.0,15.0,19.0,24.0
46,6.1780595232223225,-0.9037997329110236,T. Horn,1. FC Köln,2,GK,13.0,21.0,14.0,45.0,15.0,20.0,22.0
47,5.808944506139327,-1.17117670927155,M. Stekelenburg,Ajax,2,GK,11.0,23.0,14.0,56.0,13.0,12.0,31.0
48,5.816063758716076,-0.8704813282051328,Robert Sanchéz,Brighton & Hove Albion,2,GK,14.0,15.0,15.0,52.0,14.0,15.0,37.0
49,5.102686295135498,-0.9227773512737573,De Gea,Manchester United,2,GK,13.0,29.0,21.0,57.0,19.0,18.0,38.0
50,4.689022877086872,-1.082071229300047,E. Martínez,Aston Villa,2,GK,16.0,42.0,26.0,62.0,20.0,13.0,35.0
51,4.918532781099641,-1.0865911322995032,M. Maignan,AC Milan,2,GK,15.0,15.0,17.0,64.0,16.0,32.0,40.0
52,4.793399398187937,-1.1382227304896864,21 A. Onana,Ajax,2,GK,12.0,27.0,20.0,65.0,17.0,26.0,38.0
53,5.482581803177613,-1.0896380203052785,M. Bizot,Stade Brestois 29,2,GK,15.0,36.0,16.0,52.0,15.0,12.0,32.0
54,6.683211844758285,-1.1289744834081261,Luís Maximiano,Granada CF,2,GK,5.0,13.0,8.0,49.0,9.0,16.0,21.0
55,5.923027710726574,-1.2400798564153304,S. Mandanda,Olympique de Marseille,2,GK,13.0,11.0,13.0,59.0,12.0,19.0,27.0
56,5.97430428049071,-1.2947215162285672,A. Gomis,Stade Rennais FC,2,GK,16.0,23.0,11.0,53.0,12.0,15.0,24.0
57,6.686759244648068,-1.2542426255170065,A. Lafont,FC Nantes,2,GK,6.0,16.0,13.0,52.0,12.0,14.0,10.0
58,6.460186258413465,-1.2748272557348692,C. Acevedo,Santos Laguna,2,GK,9.0,17.0,11.0,52.0,13.0,11.0,19.0
59,5.932448827211504,-1.3098575856076806,Joel Robles,Real Betis Balompié,2,GK,11.0,15.0,12.0,55.0,20.0,18.0,25.0
60,6.283821953254198,-1.0492993229353273,M. Silvestri,Udinese Calcio,2,GK,20.0,16.0,12.0,47.0,11.0,18.0,20.0
61,6.280664704225737,-1.180153450935942,Matheus,SC Braga,2,GK,12.0,13.0,14.0,55.0,12.0,12.0,22.0
62,5.7948050270427345,-1.1773652910268677,Edgar Badia,Elche CF,2,GK,12.0,30.0,20.0,57.0,13.0,14.0,18.0
63,6.197746942011368,-1.47510560715767,21 S. Ruffier,AS Saint-Étienne,2,GK,11.0,25.0,12.0,56.0,12.0,12.0,15.0
64,5.619909850318354,-1.2026630629476334,21 S. Romero,Manchester United,2,GK,14.0,16.0,12.0,59.0,13.0,12.0,40.0
65,5.6808351988090715,-1.3478626149358073,Neto,FC Barcelona,2,GK,15.0,22.0,14.0,59.0,13.0,19.0,24.0
66,5.943742687964931,-1.1331595269305046,D. Livaković,Dinamo Zagreb,2,GK,12.0,15.0,13.0,56.0,11.0,19.0,28.0
67,6.173994606605877,-1.098251591905546,Marcelo Grohe,Al Ittihad,2,GK,12.0,24.0,14.0,50.0,13.0,11.0,23.0
68,5.486543316746567,-1.5160533835687853,Rui Patrício,Roma,2,GK,12.0,32.0,11.0,58.0,16.0,20.0,25.0
69,5.358408699889618,-1.3503852656528672,Kepa,Chelsea,2,GK,11.0,24.0,18.0,64.0,19.0,10.0,33.0
70,5.891365769850568,-0.38469551284769726,20 Casillas,FC Porto,2,GK,12.0,24.0,25.0,45.0,13.0,25.0,23.0
71,5.314715208362662,-0.9889586162837877,G. Arias,Racing Club,2,GK,18.0,26.0,22.0,55.0,20.0,23.0,25.0
72,5.802013152556415,-1.0316049243302001,N. Guzmán,Tigres U.A.N.L.,2,GK,10.0,12.0,15.0,53.0,22.0,23.0,29.0
73,6.570728879143342,-1.0023554827266172,A. Luthe,1. FC Union Berlin,2,GK,12.0,21.0,15.0,46.0,12.0,12.0,14.0
74,6.059473410842029,-1.1165729926361934,A. Lopes,Olympique Lyonnais,2,GK,18.0,16.0,16.0,53.0,14.0,15.0,21.0
75,6.138196363434996,-0.8660259871827528,Pierrino Faria,Santos,2,GK,11.0,21.0,18.0,49.0,14.0,16.0,22.0
76,6.349392628186492,-1.5609216019999925,Fred Aníbão,Club Athletico Paranaense,2,GK,7.0,19.0,8.0,57.0,13.0,8.0,21.0
77,5.502373184232123,-1.1037175792772782,T. Krul,Norwich City,2,GK,11.0,42.0,19.0,53.0,15.0,13.0,25.0
78,5.935618280852806,-1.3950383826432184,A. Marchesín,FC Porto,2,GK,14.0,14.0,11.0,57.0,15.0,24.0,20.0
79,5.173948955258919,-0.9760912731919512,C. Vargas,Club Atlas,2,GK,16.0,46.0,27.0,52.0,23.0,16.0,19.0
80,6.02227533701412,-1.2080181530667506,M. Perin,Juventus,2,GK,11.0,21.0,12.0,53.0,13.0,19.0,23.0
81,5.574391346079849,-1.3218979951565186,D. von Ballmoos,BSC Young Boys,2,GK,16.0,28.0,13.0,56.0,13.0,22.0,24.0
82,5.708127972637535,-1.113165909027332,T. Heaton,Manchester United,2,GK,12.0,24.0,16.0,56.0,13.0,17.0,28.0
83,5.93157250283944,-1.1871259535584178,D. Henderson,Manchester United,2,GK,9.0,16.0,13.0,59.0,10.0,13.0,32.0
84,6.4567070441771595,-0.7260643405892839,R. Bürki,Borussia Dortmund,2,GK,8.0,20.0,17.0,45.0,12.0,12.0,23.0
85,6.064811490275955,-1.1286689654859878,I. Akinfeev,PFC CSKA Moscow,2,GK,13.0,10.0,18.0,59.0,13.0,15.0,22.0
86,6.2021959229891985,-1.2122875765114147,S. Handanovič,Inter,2,GK,10.0,23.0,10.0,49.0,14.0,18.0,21.0
87,4.791157901643581,-1.6338638292885228,P. Gazzaniga,Fulham,2,GK,12.0,41.0,14.0,64.0,21.0,20.0,32.0
88,5.641433894018272,-1.0913898747023696,G. Buffon,Parma,2,GK,15.0,22.0,13.0,53.0,13.0,26.0,28.0
89,5.776097812361921,-1.1241405732116747,F. Muslera,Galatasaray SK,2,GK,10.0,24.0,12.0,54.0,10.0,25.0,27.0
90,5.971677124784993,-1.1704854932225,J. Oblak,Atlético de Madrid,2,GK,11.0,11.0,15.0,59.0,14.0,12.0,30.0
91,5.910836611687971,-1.4040794015907623,A. Cragno,Cagliari,2,GK,12.0,31.0,12.0,55.0,12.0,13.0,21.0
92,5.8477562685481965,-1.3346909712624455,Lucas Mantela,Palmeiras,2,GK,15.0,15.0,14.0,56.0,21.0,17.0,23.0
93,5.82964281022106,-0.8508687091764076,David Soria,Getafe CF,2,GK,19.0,23.0,24.0,54.0,11.0,16.0,19.0
94,4.00223508367831,-0.9641053311580133,M. Neuer,FC Bayern München,2,GK,13.0,47.0,25.0,68.0,11.0,30.0,46.0
95,5.281424095547294,-1.617395488719192,M. ter Stegen,FC Barcelona,2,GK,14.0,25.0,11.0,66.0,12.0,21.0,30.0
96,6.188220158654151,-1.4002129572891318,A. Consigli,U.S. Sassuolo Calcio,2,GK,10.0,21.0,10.0,54.0,15.0,10.0,23.0
97,4.960269174482687,-0.7877827979205531,Alisson,Liverpool,2,GK,13.0,23.0,29.0,63.0,18.0,27.0,30.0
98,6.436063540370556,-1.167392220478028,Andrés Fernández,SD Huesca,2,GK,13.0,16.0,12.0,50.0,12.0,14.0,18.0
99,5.366924601139935,-1.3052341509143608,G. Donnarumma,Paris Saint-Germain,2,GK,12.0,24.0,12.0,59.0,14.0,28.0,30.0
100,5.733993640011569,-1.522175500254434,E. Andrada,CF Monterrey ,2,GK,14.0,19.0,13.0,62.0,15.0,16.0,23.0
101,5.827955188112062,-1.3479658517639939,W. Benítez,OGC Nice,2,GK,14.0,25.0,13.0,54.0,17.0,19.0,20.0
102,6.275396807996723,-1.198280606005646,Guilherme,FC Lokomotiv Moscow,2,GK,11.0,12.0,13.0,55.0,12.0,16.0,21.0
103,5.946577170069406,-1.7220851846585064,Sergio Rico,Paris Saint-Germain,2,GK,14.0,24.0,11.0,58.0,20.0,15.0,13.0
104,5.888149277131178,-1.2041707877851022,S. Kritsyuk,Gil Vicente FC,2,GK,19.0,14.0,17.0,55.0,20.0,13.0,23.0
105,6.17381689704692,-1.344577766327915,21 Moyá,Real Sociedad,2,GK,11.0,11.0,12.0,59.0,12.0,13.0,24.0
106,6.26795655056307,-1.212773891040258,J. Ledesma,Cádiz CF,2,GK,14.0,23.0,15.0,50.0,15.0,16.0,12.0
107,5.803974758580501,-1.0831476136254417,21 A. Mirante,Roma,2,GK,17.0,21.0,13.0,51.0,13.0,24.0,25.0
108,5.464323252376456,-1.139089578709536,O. Kolář,SK Slavia Praha,2,GK,7.0,15.0,11.0,59.0,14.0,30.0,37.0
109,6.187646331173254,-1.289926373455657,Diego López,RCD Espanyol de Barcelona,2,GK,12.0,21.0,10.0,53.0,11.0,11.0,25.0
110,5.822879885852764,-1.4099636596507825,K. Casteels,VfL Wolfsburg,2,GK,15.0,20.0,14.0,60.0,13.0,14.0,23.0
111,6.442298784227515,-1.2089593229427027,Helton Leite,SL Benfica,2,GK,10.0,19.0,12.0,53.0,8.0,10.0,20.0
112,5.854707374713363,-1.6991444164755605,G. Rulli,Villarreal CF,2,GK,15.0,24.0,12.0,59.0,20.0,14.0,15.0
113,6.097169456276634,-1.5859832655013246,Pacheco,Deportivo Alavés,2,GK,16.0,23.0,10.0,53.0,20.0,13.0,15.0
114,5.206002925791363,-1.7352764174500557,M. Dmitrović,Sevilla FC,2,GK,20.0,58.0,20.0,59.0,18.0,8.0,9.0
115,5.484924336359985,-1.2027516667116334,Guaita,Crystal Palace,2,GK,11.0,29.0,20.0,58.0,20.0,16.0,24.0
116,5.4482781191873935,-1.295376200430905,S. Mignolet,Club Brugge KV,2,GK,11.0,41.0,16.0,57.0,12.0,14.0,26.0
117,6.189170788990725,-1.1946687520746673,M. Müller,FC Luzern,2,GK,10.0,18.0,12.0,53.0,13.0,14.0,24.0
118,5.660653599551059,-1.6617985602311216,Y. Sommer,Borussia Mönchengladbach,2,GK,13.0,24.0,10.0,63.0,13.0,15.0,25.0
119,5.68897687680384,-0.8396085153496291,P. Gulácsi,RB Leipzig,2,GK,10.0,24.0,23.0,57.0,11.0,19.0,25.0
120,5.312960085766547,-1.1562007028458692,K. Schmeichel,Leicester City,2,GK,12.0,26.0,16.0,60.0,15.0,12.0,40.0
121,5.716893543395596,-1.4669547360075261,T. Courtois,Real Madrid CF,2,GK,14.0,27.0,13.0,56.0,20.0,13.0,23.0
122,4.101012625872488,-1.7821803539568393,Ederson,Manchester City,2,GK,14.0,51.0,14.0,70.0,20.0,23.0,40.0
123,5.461824820045101,-1.311663781552255,K. Navas,Paris Saint-Germain,2,GK,15.0,25.0,11.0,56.0,15.0,24.0,30.0
124,5.8499566014496525,-1.2715187937298533,J. Musso,Atalanta,2,GK,18.0,25.0,15.0,55.0,12.0,16.0,20.0
125,6.466024351370518,-1.2432543758005363,A. Bayındır,Fenerbahçe SK,2,GK,10.0,16.0,14.0,53.0,14.0,10.0,16.0
126,6.104436896703054,-1.1870874881938018,A. Schwolow,Hertha BSC,2,GK,12.0,22.0,12.0,50.0,16.0,15.0,23.0
