"ID","pc1","pc2","Finishing","Penalties","HeadingAccuracy","ShotPower","Position"
"0","5.1580404611766","-1.4758661379013","13","24","13","60","2"
"1","5.1787119561142","-1.4262551346798","10","40","10","49","2"
"2","5.8266113478515","-1.0459925436214","14","13","19","56","2"
"3","5.2928156466739","-0.97562799814556","11","25","23","59","2"
"4","5.6731618438097","-1.4343181060889","10","21","12","59","2"
"5","5.7998623601803","-1.1879203518426","12","18","16","55","2"
"6","5.4900078876351","-1.4356504710917","10","20","12","60","2"
"7","5.412628153115","-0.83538099130112","12","24","20","50","2"
"8","5.1332978274305","-1.3532729204726","11","26","11","56","2"
"9","5.3365240787739","-1.2185884514046","20","17","18","58","2"
"10","5.2863284117608","-1.3876778128474","15","25","12","55","2"
"11","5.5520547533002","-1.4440055579994","18","21","11","56","2"
"12","5.1380357493904","-1.6789295590435","10","23","13","56","2"
"13","5.7971607529767","-1.290318125383","14","19","12","51","2"
"14","6.0540904685804","-1.0374839481736","16","18","14","45","2"
"15","5.3594612559434","-1.0828878987249","17","21","19","53","2"
"16","5.9585204895641","-1.0610078708121","13","13","16","53","2"
"17","6.052898649576","-1.4620364012466","9","15","7","53","2"
"18","6.1838378379664","-1.1493634232011","8","11","13","53","2"
"19","5.8169033563086","-1.5025638131872","13","17","11","59","2"
"20","5.9713703651072","-1.428023971046","10","16","11","58","2"
"21","4.5961063643271","-1.2555615520842","11","42","17","53","2"
"22","6.05261614604","-1.0664333083013","11","11","15","55","2"
"23","5.9476431134405","-0.98226964125726","14","15","17","49","2"
"24","5.7645266321019","-1.3238710609897","11","19","11","54","2"
"25","5.3990328851219","-1.3695229559193","13","23","14","55","2"
"26","4.8255063151456","-1.4400775405407","20","30","14","56","2"
"27","5.6992272294756","-1.357315805463","13","22","11","53","2"
"28","5.3981564252637","-1.2174857007159","11","22","16","59","2"
"29","5.1664233616692","-1.3737193289864","14","24","14","57","2"
"30","5.8341940918207","-1.2326091653384","10","12","13","58","2"
"31","5.6093515554681","-1.2940455224975","9","23","13","57","2"
"32","5.5732312947318","0.12918063110556","13","19","39","48","2"
"33","5.7649691635628","-1.4061157464243","10","19","11","57","2"
"34","5.5769163196179","-1.4800913577537","14","15","13","59","2"
"35","3.9953037812015","-1.7043661245715","19","45","15","65","2"
"36","5.8324048428676","-1.2454947103604","14","15","15","58","2"
"37","6.0713353251042","-1.4928799870182","5","13","10","59","2"
"38","6.1018411184692","-1.0803103163433","15","11","14","47","2"
"39","5.3715986577088","-1.1870125674903","14","24","18","57","2"
"40","5.8871223260471","-1.3763011565236","11","20","11","52","2"
"41","5.5621176548514","-1.4288790017628","14","22","11","56","2"
"42","5.3787341523578","-1.3400041688006","10","26","15","58","2"
"43","5.8026689292078","-0.70020439808512","13","19","24","51","2"
"44","5.3577285650683","-1.0606402395953","18","21","18","51","2"
"45","5.4721427322572","-1.0137438439298","13","24","17","50","2"
"46","5.7923362141566","-0.99970849809471","13","21","14","45","2"
"47","5.5770679015052","-1.3189558117469","11","23","14","56","2"
"48","5.9313222042029","-1.1154864436426","14","15","15","52","2"
"49","4.9055416702409","-1.0930220686593","13","29","21","57","2"
"50","4.0981754928978","-1.1372625058031","16","42","26","62","2"
"51","5.1168175729504","-1.2236249531232","15","15","17","64","2"
"52","4.6466303685696","-1.2392332982336","12","27","20","65","2"
"53","4.962152369764","-1.2555667038025","15","36","16","52","2"
"54","6.4565386491038","-1.2532454113885","5","13","8","49","2"
"55","5.8910050953942","-1.2991212727214","13","11","13","59","2"
"56","5.5749746299658","-1.3679611297629","16","23","11","53","2"
"57","6.120938068327","-1.1703543821119","6","16","13","52","2"
"58","6.0830128976185","-1.3163927580617","9","17","11","52","2"
"59","5.7549158881096","-1.3690721801623","11","15","12","55","2"
"60","5.9664080870056","-1.1012151347063","20","16","12","47","2"
"61","6.0755048591151","-1.2147510900554","12","13","14","55","2"
"62","5.0841170217587","-1.1017468994139","12","30","20","57","2"
"63","5.5276166815904","-1.4147773681219","11","25","12","56","2"
